entry_utc,close_utc,direction,coin,leverage,roi_pct,actual_pnl,reversal_warning,blocked,sim_pnl,reason,day
2026-04-14 21:11,2026-04-14 21:11,SHORT,BR,5,-5.6,-23.41,,NO,-23.41,STOP_LOSS,2026-04-14
2026-04-14 21:14,2026-04-14 21:14,LONG,4,5,-14.5,-54.37,,NO,-54.37,STOP_LOSS,2026-04-14
2026-04-14 21:39,2026-04-14 21:39,SHORT,ZAMA,5,-3.3,-12.75,,NO,-12.75,STOP_LOSS,2026-04-14
2026-04-14 22:05,2026-04-14 22:05,SHORT,POL,8,3.8,1.98,,NO,1.98,TARGET_HIT,2026-04-14
2026-04-14 22:05,2026-04-14 22:05,SHORT,WIF,8,3.2,1.64,,NO,1.64,TARGET_HIT,2026-04-14
2026-04-14 23:18,2026-04-15 00:01,SHORT,PENDLE,8,-7.0,-26.87,,NO,-26.87,STOP_LOSS,2026-04-15
2026-04-15 00:05,2026-04-15 00:05,SHORT,POL,8,-5.3,-21.2,,NO,-21.2,STOP_LOSS,2026-04-15
2026-04-15 00:06,2026-04-15 01:52,SHORT,BNB,8,-3.9,-15.93,,NO,-15.93,STOP_LOSS,2026-04-15
2026-04-14 22:19,2026-04-15 02:08,LONG,BTC,10,6.3,19.77,,NO,19.77,TARGET_HIT,2026-04-15
2026-04-14 22:19,2026-04-15 02:08,LONG,LDO,8,3.0,8.57,,NO,8.57,TARGET_HIT,2026-04-15
2026-04-14 22:30,2026-04-15 02:08,LONG,ETH,8,7.2,23.0,,NO,23.0,TARGET_HIT,2026-04-15
2026-04-14 22:30,2026-04-15 02:08,LONG,LINK,8,8.3,27.27,,NO,27.27,TARGET_HIT,2026-04-15
2026-04-14 22:32,2026-04-15 02:08,LONG,AVAX,8,4.3,13.1,,NO,13.1,TARGET_HIT,2026-04-15
2026-04-14 23:16,2026-04-15 02:16,SHORT,SOL,8,-1.3,-6.81,,NO,-6.81,STOP_LOSS,2026-04-15
2026-04-14 23:40,2026-04-15 02:40,SHORT,XRP,8,4.5,13.51,,NO,13.51,TARGET_HIT,2026-04-15
2026-04-15 00:06,2026-04-15 03:07,SHORT,ADA,8,4.0,11.88,,NO,11.88,TARGET_HIT,2026-04-15
2026-04-15 03:33,2026-04-15 05:02,SHORT,ADA,8,-6.0,-23.34,,NO,-23.34,STOP_LOSS,2026-04-15
2026-04-15 02:13,2026-04-15 05:13,SHORT,PENDLE,8,1.0,0.39,,NO,0.39,TARGET_HIT,2026-04-15
2026-04-15 02:26,2026-04-15 05:26,LONG,BTC,8,-3.5,-14.55,,NO,-14.55,STOP_LOSS,2026-04-15
2026-04-15 02:31,2026-04-15 05:32,LONG,AVAX,8,4.0,12.08,,NO,12.08,TARGET_HIT,2026-04-15
2026-04-15 04:12,2026-04-15 05:33,LONG,CRV,8,-5.9,-23.82,,NO,-23.82,STOP_LOSS,2026-04-15
2026-04-15 03:56,2026-04-15 06:57,SHORT,LINK,8,3.1,8.78,,NO,8.78,TARGET_HIT,2026-04-15
2026-04-15 21:16,2026-04-15 21:16,SHORT,CAKE,8,8.2,25.55,,NO,25.55,TARGET_HIT,2026-04-15
2026-04-15 21:16,2026-04-15 21:16,LONG,AVAX,8,-7.7,-30.53,,NO,-30.53,STOP_LOSS,2026-04-15
2026-04-15 21:21,2026-04-15 21:21,LONG,SUI,8,-8.6,-33.47,,NO,-33.47,STOP_LOSS,2026-04-15
2026-04-15 05:22,2026-04-15 21:27,LONG,BNB,8,0.8,0.6,,NO,0.6,TARGET_HIT,2026-04-15
2026-04-15 21:27,2026-04-15 21:27,LONG,WLD,8,-0.3,-4.05,,NO,-4.05,STOP_LOSS,2026-04-15
2026-04-15 21:16,2026-04-15 21:27,LONG,ETH,8,-1.0,-6.48,,NO,-6.48,STOP_LOSS,2026-04-15
2026-04-15 21:16,2026-04-15 21:27,LONG,BTC,8,-0.4,-4.43,,NO,-4.43,STOP_LOSS,2026-04-15
2026-04-15 21:27,2026-04-15 21:27,LONG,ENA,8,-10.2,-39.34,,NO,-39.34,STOP_LOSS,2026-04-15
2026-04-15 22:25,2026-04-15 23:16,LONG,CRV,8,-7.5,-28.39,,NO,-28.39,STOP_LOSS,2026-04-15
2026-04-15 23:15,2026-04-16 01:43,SHORT,LDO,7,-13.3,-48.35,,NO,-48.35,STOP_LOSS,2026-04-16
2026-04-15 23:01,2026-04-16 02:04,LONG,LINK,8,-1.4,-7.21,,NO,-7.21,STOP_LOSS,2026-04-16
2026-04-15 23:16,2026-04-16 02:16,LONG,BNB,8,0.3,-1.48,,NO,-1.48,STOP_LOSS,2026-04-16
2026-04-15 23:16,2026-04-16 02:16,LONG,ETH,8,-1.7,-8.2,,NO,-8.2,STOP_LOSS,2026-04-16
2026-04-16 01:06,2026-04-16 02:31,LONG,PENDLE,8,17.4,58.92,,NO,58.92,TARGET_HIT,2026-04-16
2026-04-15 23:36,2026-04-16 02:36,LONG,ADA,8,8.8,28.42,,NO,28.42,TARGET_HIT,2026-04-16
2026-04-16 01:06,2026-04-16 02:43,LONG,UNI,8,12.3,40.75,,NO,40.75,TARGET_HIT,2026-04-16
2026-04-16 01:06,2026-04-16 03:56,LONG,AVAX,8,12.7,42.43,,NO,42.43,TARGET_HIT,2026-04-16
2026-04-16 02:15,2026-04-16 05:36,LONG,BTC,8,3.7,11.11,,NO,11.11,TARGET_HIT,2026-04-16
2026-04-16 05:36,2026-04-16 05:54,SHORT,PENDLE,7,-6.9,-25.91,,NO,-25.91,STOP_LOSS,2026-04-16
2026-04-16 05:36,2026-04-16 06:12,LONG,CRV,8,-3.2,-14.31,,NO,-14.31,STOP_LOSS,2026-04-16
2026-04-16 05:36,2026-04-16 07:15,LONG,LINK,8,-4.7,-19.69,,NO,-19.69,STOP_LOSS,2026-04-16
2026-04-16 05:36,2026-04-16 08:27,LONG,BTC,8,-3.8,-16.5,,NO,-16.5,STOP_LOSS,2026-04-16
2026-04-16 05:36,2026-04-16 08:43,SHORT,BNB,8,3.6,10.68,,NO,10.68,TARGET_HIT,2026-04-16
2026-04-16 08:43,2026-04-16 08:43,LONG,SOL,8,-1.4,-7.18,,NO,-7.18,STOP_LOSS,2026-04-16
2026-04-16 05:36,2026-04-16 08:44,LONG,AVAX,8,-2.7,-12.88,,NO,-12.88,STOP_LOSS,2026-04-16
2026-04-16 05:36,2026-04-16 08:44,LONG,ADA,8,-4.2,-18.09,,NO,-18.09,STOP_LOSS,2026-04-16
2026-04-16 05:36,2026-04-16 08:44,SHORT,ETH,8,4.4,12.26,,NO,12.26,TARGET_HIT,2026-04-16
2026-04-16 06:58,2026-04-16 09:13,LONG,LDO,7,25.1,84.58,,NO,84.58,TARGET_HIT,2026-04-16
2026-04-16 08:47,2026-04-16 09:24,SHORT,PENDLE,8,-8.4,-31.51,,NO,-31.51,STOP_LOSS,2026-04-16
2026-04-16 08:43,2026-04-16 09:52,SHORT,POL,8,-5.1,-20.81,,NO,-20.81,STOP_LOSS,2026-04-16
2026-04-16 10:13,2026-04-16 10:25,SHORT,LDO,7,-9.9,-37.43,,NO,-37.43,STOP_LOSS,2026-04-16
2026-04-16 10:13,2026-04-16 10:28,SHORT,CRV,8,-4.3,-18.16,,NO,-18.16,STOP_LOSS,2026-04-16
2026-04-16 10:04,2026-04-16 11:14,LONG,ETH,8,-2.0,-9.18,,NO,-9.18,STOP_LOSS,2026-04-16
2026-04-16 11:15,2026-04-16 12:01,SHORT,BTC,8,-3.3,-13.81,,NO,-13.81,STOP_LOSS,2026-04-16
2026-04-16 10:13,2026-04-16 12:01,SHORT,LINK,8,-5.1,-20.96,,NO,-20.96,STOP_LOSS,2026-04-16
2026-04-16 11:30,2026-04-16 12:03,SHORT,AVAX,8,-5.9,-22.6,,NO,-22.6,STOP_LOSS,2026-04-16
2026-04-16 10:13,2026-04-16 12:11,SHORT,XRP,8,-4.8,-20.02,,NO,-20.02,STOP_LOSS,2026-04-16
2026-04-16 10:13,2026-04-16 12:11,SHORT,BNB,8,-2.7,-12.52,,NO,-12.52,STOP_LOSS,2026-04-16
2026-04-16 09:13,2026-04-16 12:11,SHORT,UNI,7,-3.9,-16.2,,NO,-16.2,STOP_LOSS,2026-04-16
2026-04-16 12:13,2026-04-16 13:30,LONG,PENDLE,8,16.9,56.73,,NO,56.73,TARGET_HIT,2026-04-16
2026-04-16 12:06,2026-04-16 13:45,SHORT,ADA,8,-6.1,-23.42,,NO,-23.42,STOP_LOSS,2026-04-16
2026-04-16 12:13,2026-04-16 13:58,LONG,POL,8,-4.8,-20.25,,NO,-20.25,STOP_LOSS,2026-04-16
2026-04-16 13:58,2026-04-16 14:03,SHORT,ETH,8,-0.2,-3.74,BEARISH_REVERSAL,NO,-3.74,STOP_LOSS,2026-04-16
2026-04-16 13:58,2026-04-16 14:03,SHORT,PENDLE,7,0.7,-0.38,BEARISH_REVERSAL,NO,-0.38,STOP_LOSS,2026-04-16
2026-04-16 13:58,2026-04-16 14:03,SHORT,LDO,7,-2.5,-11.39,BEARISH_REVERSAL,NO,-11.39,STOP_LOSS,2026-04-16
2026-04-16 13:58,2026-04-16 14:03,SHORT,CRV,8,1.8,3.13,BEARISH_REVERSAL,NO,3.13,TARGET_HIT,2026-04-16
2026-04-16 13:58,2026-04-16 14:03,SHORT,POL,7,0.8,0.11,BEARISH_REVERSAL,NO,0.11,TARGET_HIT,2026-04-16
2026-04-16 13:58,2026-04-16 14:03,SHORT,SOL,8,-4.0,-17.03,BEARISH_REVERSAL,NO,-17.03,STOP_LOSS,2026-04-16
2026-04-16 14:36,2026-04-16 15:04,SHORT,BNB,8,-2.7,-12.51,BEARISH_REVERSAL,NO,-12.51,STOP_LOSS,2026-04-16
2026-04-16 14:36,2026-04-16 15:04,SHORT,UNI,8,-3.2,-14.24,BEARISH_REVERSAL,NO,-14.24,STOP_LOSS,2026-04-16
2026-04-16 14:38,2026-04-16 15:06,SHORT,AVAX,8,-7.4,-28.12,BEARISH_REVERSAL,NO,-28.12,STOP_LOSS,2026-04-16
2026-04-16 14:36,2026-04-16 15:07,SHORT,CRV,8,-4.3,-18.08,BEARISH_REVERSAL,NO,-18.08,STOP_LOSS,2026-04-16
2026-04-16 14:36,2026-04-16 15:09,SHORT,BTC,8,-4.1,-17.47,BEARISH_REVERSAL,NO,-17.47,STOP_LOSS,2026-04-16
2026-04-16 15:08,2026-04-16 15:34,SHORT,LINK,8,-4.4,-17.45,,NO,-17.45,STOP_LOSS,2026-04-16
2026-04-16 15:53,2026-04-16 16:19,LONG,BNB,8,3.5,8.95,,NO,8.95,TARGET_HIT,2026-04-16
2026-04-16 15:53,2026-04-16 16:19,LONG,LINK,8,2.7,6.2,,NO,6.2,TARGET_HIT,2026-04-16
2026-04-16 15:53,2026-04-16 16:19,LONG,AVAX,8,1.5,2.08,,NO,2.08,TARGET_HIT,2026-04-16
2026-04-16 15:53,2026-04-16 16:19,LONG,SOL,8,1.7,2.52,,NO,2.52,TARGET_HIT,2026-04-16
2026-04-16 15:53,2026-04-16 16:19,LONG,ADA,8,5.7,16.8,,NO,16.8,TARGET_HIT,2026-04-16
